City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Katobu,ID,-4.94,122.53,92.3,50,21,3.91,light rain
84,Barrow,US,71.29,-156.79,19.4,79,90,16.11,overcast clouds
85,Dharchula,IN,29.85,80.53,68.9,22,0,3.56,clear sky
86,Lavrentiya,RU,65.58,-171.0,23.45,93,70,15.5,broken clouds
87,Hobart,AU,-42.88,147.33,69.01,37,40,12.75,scattered clouds
88,Carnarvon,AU,-24.87,113.63,75.2,69,40,18.34,scattered clouds
89,Grand Forks,US,47.94,-97.43,28.4,92,1,14.99,clear sky
90,Atherton,GB,53.52,-2.49,48.0,80,100,4.0,moderate rain
91,Kallifitos,GR,41.17,24.22,54.0,76,67,2.64,broken clouds
92,Te Anau,NZ,-45.42,167.72,60.57,61,100,9.31,moderate rain
93,Przhevalskoye,RU,55.51,31.85,28.78,96,100,5.73,overcast clouds
94,Tabligbo,TG,6.58,1.5,80.6,88,20,2.24,few clouds
95,Manaus,BR,-3.1,-60.02,80.6,88,20,0.85,few clouds
96,Victoria,HK,22.29,114.16,77.0,58,99,1.99,overcast clouds
97,Kirillov,RU,59.86,38.38,33.8,100,90,2.71,overcast clouds
98,Talara,PE,-4.58,-81.27,63.66,87,27,12.44,scattered clouds
99,Sioux Lookout,CA,50.1,-91.92,21.2,79,5,8.05,clear sky
100,Clyde River,CA,70.47,-68.59,14.0,72,90,21.92,overcast clouds
101,Nikolskoye,RU,59.7,30.79,33.01,93,75,2.24,broken clouds
102,Haines Junction,CA,60.75,-137.51,12.2,85,99,1.3,overcast clouds
103,Amalapuram,IN,16.58,82.02,80.6,65,42,4.7,scattered clouds
104,Anadyr,RU,64.75,177.48,6.8,84,75,11.18,broken clouds
105,Longyearbyen,SJ,78.22,15.64,33.8,74,90,13.87,light snow
106,Sitka,US,57.05,-135.33,37.4,86,75,5.7,broken clouds
107,Pathein,MM,16.78,94.73,83.1,68,0,11.59,clear sky
108,Nome,US,64.5,-165.41,21.2,62,1,10.29,clear sky
109,Cherskiy,RU,68.75,161.3,-8.09,88,100,6.38,overcast clouds
110,Yulara,AU,-25.24,130.99,105.8,5,0,13.87,clear sky
111,Gualaquiza,EC,-3.4,-78.55,64.18,89,100,1.74,light rain
112,Morehead,US,37.27,-87.18,37.4,80,1,2.98,clear sky
113,Cidreira,BR,-30.18,-50.21,69.08,94,0,11.81,clear sky
114,Khipro,PK,25.83,69.38,81.37,20,0,4.59,clear sky
115,Houma,US,29.6,-90.72,61.0,87,1,5.19,clear sky
116,Kushiro,JP,42.98,144.37,50.0,39,40,9.17,scattered clouds
117,Butaritari,KI,3.07,172.79,81.75,67,59,8.63,broken clouds
