City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
233,Quatre Cocos,MU,77.0,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
236,Cairns,AU,89.01,few clouds,-16.92,145.77,Mantra Trilogy Cairns
239,Sambava,MG,77.54,light rain,-14.27,50.17,Melrose
242,Mae Hong Son,TH,80.6,few clouds,19.3,97.97,Baiyoke Chalet Hotel
249,Obidos,BR,76.57,moderate rain,-1.92,-55.52,Hotel Amazônia Center
253,Cabo San Lucas,MX,73.99,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
256,Babra,IN,82.13,clear sky,21.85,71.3,Old Circuit House
257,Poso,ID,87.69,light rain,-1.4,120.75,Hotel 77 Poso
261,Galesong,ID,87.8,few clouds,-5.32,119.37,Sapriadi Appy
265,Puerto Escondido,MX,80.6,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
267,Pirojpur,BD,81.75,clear sky,22.57,89.98,Circuit House Pirojpur
268,Buchanan,LR,77.0,scattered clouds,5.88,-10.05,Kamaneahn Hotel Inc
269,Kalianget,ID,87.91,clear sky,-7.05,113.93,Pesanggrahan Garam
270,Airai,TL,82.42,clear sky,-8.93,125.41,Juvinal Martin
273,Tura,IN,78.96,clear sky,25.52,90.22,Hotel RIKMAN Continental
278,Arona,ES,73.99,broken clouds,28.1,-16.68,Paradise Court
279,Bac Lieu,VN,84.94,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
280,Dickinson,US,73.99,broken clouds,29.46,-95.05,Candlewood Suites League City
283,Kavieng,PG,84.63,scattered clouds,-2.57,150.8,Nusa Island Retreat
285,Saint-Philippe,RE,78.8,overcast clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
290,Sidney,AU,77.0,few clouds,-33.87,151.21,QT Sydney
291,Fomboni,KM,79.9,light rain,-12.28,43.74,Auberge les abou
292,Port Augusta,AU,88.0,clear sky,-32.5,137.77,Majestic Oasis Apartments
296,Maraba,BR,75.15,light rain,-5.37,-49.12,Hotel Del Principe
303,Manacapuru,BR,77.0,light rain,-3.3,-60.62,Novo Hotel
305,Lodwar,KE,80.83,light rain,3.12,35.6,Turkwel Lodge
306,Cabedelo,BR,77.0,few clouds,-6.98,-34.83,Lua Mansa Pousada
311,Santiago Del Estero,AR,82.99,scattered clouds,-27.8,-64.26,Hotel Urbano
314,Along,IN,74.66,clear sky,28.17,94.77,Hotel West
315,Wanning,CN,74.7,moderate rain,18.8,110.4,Paradise Hotel
325,Luganville,VU,86.0,scattered clouds,-15.53,167.17,The Espiritu Hotel
326,Axim,GH,77.92,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
330,Kuppam,IN,75.06,broken clouds,12.75,78.37,S R G Homes
333,Tumaco,CO,74.57,overcast clouds,1.8,-78.82,Hotel los mellizos
335,Nizwa,OM,75.29,clear sky,22.93,57.53,Orient Apartments
338,Pucallpa,PE,76.5,light rain,-8.38,-74.55,Hotel Sol de Oriente - Pucallpa
340,Nha Trang,VN,89.6,light rain,12.25,109.18,Hanoi Golden Hotel
345,Mandera,KE,78.08,few clouds,3.94,41.87,Kornesh Hotel and Lodging
346,Kyabram,AU,78.01,clear sky,-36.32,145.05,Kyabram Motor Inn
351,Chimore,BO,74.73,scattered clouds,-16.98,-65.13,Bichito
357,Poum,NC,77.67,clear sky,-20.23,164.02,Gîte kajeon
360,Dwarka,IN,81.73,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
365,Padang,ID,87.37,broken clouds,-0.95,100.35,Mercure Padang
370,Port Macquarie,AU,84.0,few clouds,-31.43,152.92,Rydges Port Macquarie
371,Cayenne,GF,77.0,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
372,Arawa,PG,86.97,light rain,-6.21,155.54,Coastline Guest House
373,Nouadhibou,MR,71.6,clear sky,20.93,-17.03,El Medina
377,Natal,BR,77.0,few clouds,-5.79,-35.21,Villa Park Hotel | Natal
384,San Juan,AR,70.16,light rain,-31.54,-68.54,Hotel Provincial
386,Todos Santos,MX,73.0,clear sky,23.45,-110.22,Hotel California Todos Santos
387,Coahuayana,MX,74.82,broken clouds,18.73,-103.68,Hotel Los Arcos
389,Mitsamiouli,KM,79.48,overcast clouds,-11.38,43.28,Foyer ADM
392,Nabire,ID,86.04,few clouds,-3.37,135.48,Hotel Nusantara Nabire
394,Yenagoa,NG,75.58,overcast clouds,4.92,6.26,Amba Hotels Limited
396,Clarence Town,AU,75.99,clear sky,-32.58,151.78,River Downs Cottage
397,Churachandpur,IN,75.45,clear sky,24.33,93.67,Elite Boy's Hostel
406,Hobyo,SO,79.2,broken clouds,5.35,48.53,Halane Hotel and Restaurent
411,Kahului,US,80.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
415,Bumba,CD,70.88,broken clouds,2.18,22.47,Hôtel Cape Town
420,Hirara,JP,77.0,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
